"Species","Gene","Runtime","Genotype","n"
"Pink Even","LRRC9","Early","EE",60
"Pink Even","LRRC9","Late","EE",5
"Pink Even","LRRC9","Early","EL",12
"Pink Even","LRRC9","Late","EL",29
"Pink Even","LRRC9","Early","LL",2
"Pink Even","LRRC9","Late","LL",45
"Pink Odd","LRRC9","Early","LL",2
"Pink Odd","LRRC9","Early","EL",9
"Pink Odd","LRRC9","Early","EE",7
"Pink Odd","LRRC9","Late","LL",18
"Pink Odd","LRRC9","Late","EL",20
"Sockeye","LRRC9","Early Stream","EE",18
"Sockeye","LRRC9","Late Stream","EE",14
"Sockeye","LRRC9","Early Stream","EL",8
"Sockeye","LRRC9","Late Stream","EL",19
"Sockeye","LRRC9","Late Beach","EL",2
"Sockeye","LRRC9","Early Stream","LL",1
"Sockeye","LRRC9","Late Stream","LL",13
"Sockeye","LRRC9","Late Beach","LL",25
"Chum","LRRC9","Early","EE",27
"Chum","LRRC9","Early","EL",14
"Chum","LRRC9","Early","LL",6
"Chum","LRRC9","Late","LL",49
"Chum","ESRB","Early","EE",39
"Chum","ESRB","Early","EL",8
"Chum","ESRB","Late","EL",2
"Chum","ESRB","Late","LL",47
"Coho","ESRB","Early","EE",45
"Coho","ESRB","Late","EL",1
"Coho","ESRB","Late","LL",37
"Sockeye","ESR1","Early Stream (Pick)","EE",37
"Sockeye","ESR1","Late Stream (Pick)","EE",2
"Sockeye","ESR1","Early Stream (Teal)","EE",11
"Sockeye","ESR1","Late Stream (Whitefish)","EE",35
"Sockeye","ESR1","Early Stream (Pick)","EL",11
"Sockeye","ESR1","Late Stream (Pick)","EL",20
"Sockeye","ESR1","Late Beach (Anvil)","EL",10
"Sockeye","ESR1","Early Stream (Teal)","EL",12
"Sockeye","ESR1","Late Stream (Whitefish)","EL",11
"Sockeye","ESR1","Late Stream (Pick)","LL",24
"Sockeye","ESR1","Late Beach (Anvil)","LL",17
"Sockeye","ESR1","Early Stream (Teal)","LL",4
"Coho","ESR1","Early","EE",39
"Coho","ESR1","Early","EL",6
"Coho","ESR1","Late","EL",2
"Coho","ESR1","Late","LL",36
